orig_pc,orig_pc_part,orig_instruction,is_conditional_branch,is_constant_jump,is_computed_jump,srcA,srcB,dst,is_memory_read,is_memory_write,mem_addr,branch_taken
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525512,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525512,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525520,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525520,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525520,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525520,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525520,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525520,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525520,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525520,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525520,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525520,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525520,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525520,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525520,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525520,Y
2147520170,0,"c.li    a0, 0",N,N,N,,,10,N,N,2147525520,N
2147520172,0,c.j     pc - 6,N,Y,N,,,,N,N,2147525520,Y
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525520,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525520,Y
2147499124,0,"c.bnez  a0, pc + 58",Y,N,N,10,,,N,N,2147525520,N
2147499126,0,"ld      s3, 16(s0)",N,N,N,8,,19,Y,N,2147548240,N
2147499130,0,"auipc   a1, 0x6",N,N,N,,,11,N,N,2147548240,N
2147499134,0,"addi    a1, a1, 1950",N,N,N,11,,11,N,N,2147548240,N
2147499138,0,"c.mv    a0, s3",N,N,N,19,,10,N,N,2147548240,N
2147499140,0,jal     pc + 0x520c,N,Y,N,,,1,N,N,2147548240,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147548240,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147548240,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147548240,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525656,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525656,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525656,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525656,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525656,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525656,Y
2147499144,0,"c.bnez  a0, pc + 22",Y,N,N,10,,,N,N,2147525656,Y
2147499166,0,"auipc   a1, 0x6",N,N,N,,,11,N,N,2147525656,N
2147499170,0,"addi    a1, a1, 1930",N,N,N,11,,11,N,N,2147525656,N
2147499174,0,"c.mv    a0, s3",N,N,N,19,,10,N,N,2147525656,N
2147499176,0,jal     pc + 0x51e8,N,Y,N,,,1,N,N,2147525656,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525656,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525656,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525656,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525672,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525672,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525672,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525672,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525672,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525672,Y
2147499180,0,"c.beqz  a0, pc - 34",Y,N,N,10,,,N,N,2147525672,N
2147499182,0,"auipc   a1, 0x6",N,N,N,,,11,N,N,2147525672,N
2147499186,0,"addi    a1, a1, 1802",N,N,N,11,,11,N,N,2147525672,N
2147499190,0,"c.mv    a0, s1",N,N,N,9,,10,N,N,2147525672,N
2147499192,0,jal     pc + 0x51d8,N,Y,N,,,1,N,N,2147525672,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525672,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525672,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525672,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525560,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525560,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525560,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525560,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525560,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525560,Y
2147499196,0,"c.bnez  a0, pc - 44",Y,N,N,10,,,N,N,2147525560,Y
2147499152,0,"c.ldsp  ra, 40(sp)",N,N,N,2,,1,Y,N,2147548168,N
2147499154,0,"c.ldsp  s0, 32(sp)",N,N,N,2,,8,Y,N,2147548160,N
2147499156,0,"c.ldsp  s1, 24(sp)",N,N,N,2,,9,Y,N,2147548152,N
2147499158,0,"c.ldsp  s2, 16(sp)",N,N,N,2,,18,Y,N,2147548144,N
2147499160,0,"c.ldsp  s3, 8(sp)",N,N,N,2,,19,Y,N,2147548136,N
2147499162,0,"c.addi16sp sp, 48",N,N,N,,,2,N,N,2147548136,N
2147499164,0,ret,N,N,Y,1,,,N,N,2147548136,Y
2147502636,0,c.j     pc - 442,N,Y,N,,,,N,N,2147548136,Y
2147502194,0,"lw      a5, 0(s8)",N,N,N,24,,15,Y,N,2147548136,N
2147502198,0,"srliw   a4, a5, 8",N,N,N,15,,14,N,N,2147548136,N
2147502202,0,"slliw   a5, a5, 8",N,N,N,15,,15,N,N,2147548136,N
2147502206,0,"c.and   a5, s0",N,N,N,8,,15,N,N,2147548136,N
2147502208,0,"c.and   a4, s1",N,N,N,9,,14,N,N,2147548136,N
2147502210,0,"c.or    a4, a5",N,N,N,15,,14,N,N,2147548136,N
2147502212,0,"slliw   a5, a4, 16",N,N,N,14,,15,N,N,2147548136,N
2147502216,0,"srliw   a4, a4, 16",N,N,N,14,,14,N,N,2147548136,N
2147502220,0,"c.or    a5, a4",N,N,N,14,,15,N,N,2147548136,N
2147502222,0,"c.addiw a5, 0",N,N,N,,,15,N,N,2147548136,N
2147502224,0,"beq     a5, s9, pc + 176",Y,N,N,15,25,,N,N,2147548136,N
2147502228,0,"bgeu    s9, a5, pc + 18",Y,N,N,25,15,,N,N,2147548136,N
2147502232,0,"beq     a5, s4, pc + 194",Y,N,N,15,20,,N,N,2147548136,Y
2147502426,0,"bnez    s10, pc + 252",Y,N,N,26,,,N,N,2147548136,N
2147502430,0,"lw      a4, 8(s8)",N,N,N,24,,14,Y,N,2147548136,N
2147502434,0,"lw      a2, 4(s8)",N,N,N,24,,12,Y,N,2147548136,N
2147502438,0,"addi    a1, s8, 12",N,N,N,24,,11,N,N,2147548136,N
2147502442,0,"slliw   a5, a4, 8",N,N,N,14,,15,N,N,2147548136,N
2147502446,0,"srliw   a4, a4, 8",N,N,N,14,,14,N,N,2147548136,N
2147502450,0,"c.and   a4, s1",N,N,N,9,,14,N,N,2147548136,N
2147502452,0,"c.and   a5, s0",N,N,N,8,,15,N,N,2147548136,N
2147502454,0,"slliw   a3, a2, 8",N,N,N,12,,13,N,N,2147548136,N
2147502458,0,"c.or    a5, a4",N,N,N,14,,15,N,N,2147548136,N
2147502460,0,"srliw   a2, a2, 8",N,N,N,12,,12,N,N,2147548136,N
2147502464,0,"slliw   a4, a5, 16",N,N,N,15,,14,N,N,2147548136,N
2147502468,0,"c.and   a3, s0",N,N,N,8,,13,N,N,2147548136,N
2147502470,0,"c.and   a2, s1",N,N,N,9,,12,N,N,2147548136,N
2147502472,0,"srliw   a5, a5, 16",N,N,N,15,,15,N,N,2147548136,N
2147502476,0,"c.or    a3, a2",N,N,N,12,,13,N,N,2147548136,N
2147502478,0,"c.or    a4, a5",N,N,N,15,,14,N,N,2147548136,N
2147502480,0,"slliw   s11, a3, 16",N,N,N,13,,27,N,N,2147548136,N
2147502484,0,"c.slli  a4, 32",N,N,N,,,14,N,N,2147548136,N
2147502486,0,"srliw   a3, a3, 16",N,N,N,13,,13,N,N,2147548136,N
2147502490,0,"c.srli  a4, 32",N,N,N,,,14,N,N,2147548136,N
2147502492,0,"or      a3, s11, a3",N,N,N,27,13,13,N,N,2147548136,N
2147502496,0,"c.add   a4, s5",N,N,N,21,,14,N,N,2147548136,N
2147502498,0,"sext.w  s11, a3",N,N,N,13,,27,N,N,2147548136,N
2147502502,0,"c.sdsp  a4, 56(sp)",N,N,N,14,2,,N,Y,2147548232,N
2147502504,0,"c.swsp  s11, 72(sp)",N,N,N,27,2,,N,Y,2147548248,N
2147502506,0,"c.sdsp  a1, 64(sp)",N,N,N,11,2,,N,Y,2147548240,N
2147502508,0,"beqz    s3, pc + 92",Y,N,N,19,,,N,N,2147548240,N
2147502512,0,"c.mv    a0, a4",N,N,N,14,,10,N,N,2147548240,N
2147502514,0,"c.mv    a1, s7",N,N,N,23,,11,N,N,2147548240,N
2147502516,0,"c.sdsp  a4, 8(sp)",N,N,N,14,2,,N,Y,2147548184,N
2147502518,0,jal     pc + 0x44da,N,Y,N,,,1,N,N,2147548184,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147548184,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147548184,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147548184,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525952,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525952,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525952,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525952,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525952,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525952,Y
2147502522,0,"c.ldsp  a4, 8(sp)",N,N,N,2,,14,Y,N,2147548184,N
2147502524,0,"c.bnez  a0, pc + 34",Y,N,N,10,,,N,N,2147548184,Y
2147502558,0,"c.mv    a1, s6",N,N,N,22,,11,N,N,2147548184,N
2147502560,0,"c.mv    a0, a4",N,N,N,14,,10,N,N,2147548184,N
2147502562,0,jal     pc + 0x44ae,N,Y,N,,,1,N,N,2147548184,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147548184,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147548184,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147548184,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525968,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525968,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525968,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525968,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525968,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525968,Y
2147502566,0,"c.bnez  a0, pc + 34",Y,N,N,10,,,N,N,2147525968,Y
2147502600,0,"c.addiw s11, 3",N,N,N,,,27,N,N,2147525968,N
2147502602,0,"sraiw   a5, s11, 31",N,N,N,27,,15,N,N,2147525968,N
2147502606,0,"srliw   a5, a5, 30",N,N,N,15,,15,N,N,2147525968,N
2147502610,0,"addw    a5, a5, s11",N,N,N,15,27,15,N,N,2147525968,N
2147502614,0,"sraiw   a5, a5, 2",N,N,N,15,,15,N,N,2147525968,N
2147502618,0,"ld      a4, 8(s2)",N,N,N,18,,14,Y,N,2147548784,N
2147502622,0,"ld      a1, 32(s2)",N,N,N,18,,11,Y,N,2147548808,N
2147502626,0,"c.addiw a5, 3",N,N,N,,,15,N,N,2147548808,N
2147502628,0,"c.slli  a5, 2",N,N,N,,,15,N,N,2147548808,N
2147502630,0,"c.addi4spn a0, sp, 48",N,N,N,2,,10,N,N,2147548808,N
2147502632,0,"c.add   s8, a5",N,N,N,15,,24,N,N,2147548808,N
2147502634,0,c.jalr  a4,N,N,Y,14,,1,N,N,2147548808,Y
2147499092,0,"c.addi16sp sp, -48",N,N,N,,,2,N,N,2147548808,N
2147499094,0,"c.sdsp  s1, 24(sp)",N,N,N,9,2,,N,Y,2147548152,N
2147499096,0,"c.ld    s1, 8(a0)",N,N,N,10,,9,Y,N,2147548232,N
2147499098,0,"c.sdsp  s0, 32(sp)",N,N,N,8,2,,N,Y,2147548160,N
2147499100,0,"c.sdsp  s2, 16(sp)",N,N,N,18,2,,N,Y,2147548144,N
2147499102,0,"c.mv    s0, a0",N,N,N,10,,8,N,N,2147548144,N
2147499104,0,"c.mv    s2, a1",N,N,N,11,,18,N,N,2147548144,N
2147499106,0,"c.mv    a0, s1",N,N,N,9,,10,N,N,2147548144,N
2147499108,0,"auipc   a1, 0x6",N,N,N,,,11,N,N,2147548144,N
2147499112,0,"addi    a1, a1, 1828",N,N,N,11,,11,N,N,2147548144,N
2147499116,0,"c.sdsp  ra, 40(sp)",N,N,N,1,2,,N,Y,2147548168,N
2147499118,0,"c.sdsp  s3, 8(sp)",N,N,N,19,2,,N,Y,2147548136,N
2147499120,0,jal     pc + 0x5220,N,Y,N,,,1,N,N,2147548136,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147548136,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147548136,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147548136,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525512,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525512,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525512,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525512,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525512,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525512,Y
2147499124,0,"c.bnez  a0, pc + 58",Y,N,N,10,,,N,N,2147525512,Y
2147499182,0,"auipc   a1, 0x6",N,N,N,,,11,N,N,2147525512,N
2147499186,0,"addi    a1, a1, 1802",N,N,N,11,,11,N,N,2147525512,N
2147499190,0,"c.mv    a0, s1",N,N,N,9,,10,N,N,2147525512,N
2147499192,0,jal     pc + 0x51d8,N,Y,N,,,1,N,N,2147525512,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525512,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525512,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525512,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525560,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525560,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525560,Y
2147520144,0,"c.addi  a0, 1",N,N,N,,,10,N,N,2147525560,N
2147520146,0,"lbu     a5, -1(a0)",N,N,N,10,,15,Y,N,2147525560,N
2147520150,0,"c.addi  a1, 1",N,N,N,,,11,N,N,2147525560,N
2147520152,0,"lbu     a4, -1(a1)",N,N,N,11,,14,Y,N,2147525560,N
2147520156,0,"c.beqz  a5, pc + 14",Y,N,N,15,,,N,N,2147525560,N
2147520158,0,"beq     a5, a4, pc - 14",Y,N,N,15,14,,N,N,2147525560,N
2147520162,0,"sext.w  a0, a5",N,N,N,15,,10,N,N,2147525560,N
2147520166,0,"c.subw  a0, a4",N,N,N,14,,10,N,N,2147525560,N
2147520168,0,ret,N,N,Y,1,,,N,N,2147525560,Y
2147499196,0,"c.bnez  a0, pc - 44",Y,N,N,10,,,N,N,2147525560,Y
2147499152,0,"c.ldsp  ra, 40(sp)",N,N,N,2,,1,Y,N,2147548168,N
2147499154,0,"c.ldsp  s0, 32(sp)",N,N,N,2,,8,Y,N,2147548160,N
2147499156,0,"c.ldsp  s1, 24(sp)",N,N,N,2,,9,Y,N,2147548152,N
2147499158,0,"c.ldsp  s2, 16(sp)",N,N,N,2,,18,Y,N,2147548144,N
2147499160,0,"c.ldsp  s3, 8(sp)",N,N,N,2,,19,Y,N,2147548136,N
2147499162,0,"c.addi16sp sp, 48",N,N,N,,,2,N,N,2147548136,N
2147499164,0,ret,N,N,Y,1,,,N,N,2147548136,Y
2147502636,0,c.j     pc - 442,N,Y,N,,,,N,N,2147548136,Y
2147502194,0,"lw      a5, 0(s8)",N,N,N,24,,15,Y,N,2147548136,N
2147502198,0,"srliw   a4, a5, 8",N,N,N,15,,14,N,N,2147548136,N
2147502202,0,"slliw   a5, a5, 8",N,N,N,15,,15,N,N,2147548136,N
2147502206,0,"c.and   a5, s0",N,N,N,8,,15,N,N,2147548136,N
2147502208,0,"c.and   a4, s1",N,N,N,9,,14,N,N,2147548136,N
2147502210,0,"c.or    a4, a5",N,N,N,15,,14,N,N,2147548136,N
2147502212,0,"slliw   a5, a4, 16",N,N,N,14,,15,N,N,2147548136,N
2147502216,0,"srliw   a4, a4, 16",N,N,N,14,,14,N,N,2147548136,N
2147502220,0,"c.or    a5, a4",N,N,N,14,,15,N,N,2147548136,N
2147502222,0,"c.addiw a5, 0",N,N,N,,,15,N,N,2147548136,N
2147502224,0,"beq     a5, s9, pc + 176",Y,N,N,15,25,,N,N,2147548136,N
2147502228,0,"bgeu    s9, a5, pc + 18",Y,N,N,25,15,,N,N,2147548136,Y
2147502246,0,"c.li    a4, 1",N,N,N,,,14,N,N,2147548136,N
2147502248,0,"bne     a5, a4, pc + 98",Y,N,N,15,14,,N,N,2147548136,N
2147502252,0,"beqz    s10, pc + 74",Y,N,N,26,,,N,N,2147548136,Y
2147502326,0,"beqz    s3, pc - 70",Y,N,N,19,,,N,N,2147548136,N
2147502330,0,"ld      a5, 16(s2)",N,N,N,18,,15,Y,N,2147548792,N
2147502334,0,"c.beqz  a5, pc - 78",Y,N,N,15,,,N,N,2147548792,N
2147502336,0,"ld      a1, 32(s2)",N,N,N,18,,11,Y,N,2147548808,N
2147502340,0,"c.mv    a0, s3",N,N,N,19,,10,N,N,2147548808,N
2147502342,0,c.jalr  a5,N,N,Y,15,,1,N,N,2147548808,Y
2147499050,0,"c.lw    a5, 0(a1)",N,N,N,11,,15,Y,N,2147548760,N
2147499052,0,"c.beqz  a5, pc + 18",Y,N,N,15,,,N,N,2147548760,Y
2147499070,0,ret,N,N,Y,1,,,N,N,2147548760,Y
2147502344,0,c.j     pc - 88,N,Y,N,,,,N,N,2147548760,Y
2147502256,0,"ld      a5, 0(s2)",N,N,N,18,,15,Y,N,2147548776,N
2147502260,0,"addi    a0, s8, 4",N,N,N,24,,10,N,N,2147548776,N
2147502264,0,"c.sdsp  a0, 32(sp)",N,N,N,10,2,,N,Y,2147548208,N
2147502266,0,"c.beqz  a5, pc + 12",Y,N,N,15,,,N,N,2147548208,N
2147502268,0,"ld      a1, 32(s2)",N,N,N,18,,11,Y,N,2147548808,N
2147502272,0,"c.addi4spn a0, sp, 24",N,N,N,2,,10,N,N,2147548808,N
2147502274,0,c.jalr  a5,N,N,Y,15,,1,N,N,2147548808,Y
2147499082,0,"c.mv    a0, a1",N,N,N,11,,10,N,N,2147548808,N
2147499084,0,"c.li    a2, 16",N,N,N,,,12,N,N,2147548808,N
2147499086,0,"c.li    a1, 0",N,N,N,,,11,N,N,2147548808,N
2147499088,0,j       pc + 0x51e0,N,Y,N,,,,N,N,2147548808,Y
2147520048,0,"or      a5, a0, a2",N,N,N,10,12,15,N,N,2147548808,N
2147520052,0,"c.andi  a5, 7",N,N,N,,,15,N,N,2147548808,N
2147520054,0,"c.add   a2, a0",N,N,N,10,,12,N,N,2147548808,N
2147520056,0,"andi    a1, a1, 255",N,N,N,11,,11,N,N,2147548808,N
2147520060,0,"c.beqz  a5, pc + 20",Y,N,N,15,,,N,N,2147548808,Y
2147520080,0,"slli    a5, a1, 8",N,N,N,11,,15,N,N,2147548808,N
2147520084,0,"c.or    a1, a5",N,N,N,15,,11,N,N,2147548808,N
2147520086,0,"slli    a5, a1, 16",N,N,N,11,,15,N,N,2147548808,N
2147520090,0,"c.or    a5, a1",N,N,N,11,,15,N,N,2147548808,N
2147520092,0,"slli    a1, a5, 32",N,N,N,15,,11,N,N,2147548808,N
2147520096,0,"c.or    a1, a5",N,N,N,15,,11,N,N,2147548808,N
